freq,couple12,couple21,hDenom,gNa,version_datetime
4000,0.6,0.2,9,890.001,2022-02-2617:09:55
4000,0.6,0.2,3,972.206,2022-02-2617:09:55
4000,0.6,0.1,9,443.663,2022-02-2617:09:55
4000,0.5,0.4,3,2659.64,2022-02-2617:09:55
4000,0.5,0.2,9,1232.48,2022-02-2617:09:55
4000,0.5,0.4,9,2614.74,2022-02-2617:09:55
4000,0.5,0.1,9,615.116,2022-02-2617:09:55
4000,0.4,0.4,3,3565.17,2022-02-2701:29:01
4000,0.4,0.4,9,3787.9,2022-02-2701:29:01
4000,0.4,0.3,3,2603.02,2022-02-2701:29:01
4000,0.4,0.3,9,2764.57,2022-02-2701:29:01
4000,0.4,0.2,3,1698.18,2022-02-2701:29:01
4000,0.4,0.2,9,1806.69,2022-02-2701:29:01
4000,0.4,0.1,9,902.337,2022-02-2701:29:01
4000,0.3,0.2,3,2526.43,2022-02-2701:29:01
4000,0.3,0.3,9,2881.4,2022-02-2701:29:01
4000,0.5,0.5,3,3457.76,2022-02-2713:58:31
4000,0.5,0.5,9,3389.54,2022-02-2713:58:31
4000,0.9,0.9,3,4939.37,2022-02-2713:58:31
4000,0.9,0.3,3,927.528,2022-02-2713:58:31
4000,0.3,0.3,3,3849.25,2022-02-2713:58:31
4000,0.9,0.3,9,648.37,2022-02-2713:58:31
4000,0.5,0.3,3,1925.6,2022-02-2713:58:31
4000,0.5,0.3,9,1897.21,2022-02-2713:58:31
4000,0.9,0.1,3,289.893,2022-02-2720:08:32
4000,0.9,0.2,3,581.885,2022-02-2720:08:32
4000,0.8,0.3,3,1058.45,2022-02-2720:08:32
4000,0.8,0.2,3,671.045,2022-02-2720:08:32
4000,0.7,0.2,3,793.311,2022-02-2720:08:32
4000,0.8,0.1,3,334.326,2022-02-2720:08:32
4000,0.9,0.9,9,2870.56,2022-02-2720:08:32
4000,0.7,0.1,3,395.85,2022-02-2720:08:32
4000,0.6,0.1,3,485.986,2022-02-2720:08:32
4000,0.6,0.3,3,1511.47,2022-02-2720:08:32
4000,0.5,0.2,3,1247.12,2022-02-2720:08:32
4000,0.5,0.1,3,622.607,2022-02-2720:08:32
4000,0.4,0.1,3,848.193,2022-02-2720:08:32
4000,0.9,0.8,3,4005.71,2022-02-2720:08:32
4000,0.2,0.2,3,4383.69,2022-02-2614:18:58
4000,0.1,0.1,3,5400.05,2022-03-0520:07:54
4000,0.3,0.1,3,1262.06,2022-03-0523:37:29
4000,0.3,0.2,9,2881.4,2022-03-0523:49:02
4000,0.2,0.1,9,2751.22,2022-03-0523:49:02
4000,0.3,0.1,9,1438.13,2022-03-0600:12:44
4000,0.2,0.2,9,5508.74,2022-03-0523:49:02
4000,0.9,0.3,6,728.668,2022-04-26 16:33:40
4000,0.9,0.5,6,1411.21,2022-04-26 16:33:40
4000,0.5,0.3,6,1912.07,2022-04-26 16:33:40
4000,0.5,0.5,6,3412.07,2022-04-26 16:33:40
4000,0.9,0.9,6,3496.87,2022-04-26 16:33:40
4000,0.3,0.1,6,1384.7,2022-04-26 17:41:11
4000,0.4,0.1,6,887.994,2022-04-26 17:41:11
4000,0.2,0.1,6,2503.09,2022-04-26 17:41:11
4000,0.3,0.2,6,2773.04,2022-04-26 17:41:11
4000,0.4,0.2,6,1777.92,2022-04-26 17:41:11
4000,0.5,0.1,6,620.062,2022-04-26 17:41:11
4000,0.3,0.3,6,4219.37,2022-04-26 17:41:11
4000,0.4,0.3,6,2720.61,2022-04-26 17:41:11
4000,0.5,0.2,6,1242.28,2022-04-26 17:41:11
4000,0.2,0.2,6,5008.4,2022-04-26 17:41:11
4000,0.6,0.1,6,458.453,2022-04-26 17:41:11
4000,0.6,0.2,6,918.048,2022-04-26 17:41:11
4000,0.6,0.3,6,1422.02,2022-04-26 17:41:11
4000,0.4,0.4,6,3719.82,2022-04-26 17:41:11
4000,0.1,0.1,6,6379.78,2022-04-26 17:41:11
4000,0.5,0.4,6,2633.25,2022-04-26 17:41:11
4000,0.7,0.1,6,352.96,2022-04-26 17:41:11
4000,0.7,0.2,6,707.672,2022-04-26 17:41:11
4000,0.7,0.3,6,1103.95,2022-04-26 17:41:11
4000,0.6,0.4,6,1973.9,2022-04-26 17:41:11
4000,0.6,0.5,6,2581.65,2022-04-26 17:41:11
4000,0.7,0.4,6,1547.16,2022-04-26 17:41:11
4000,0.8,0.1,6,280.914,2022-04-26 17:41:11
4000,0.8,0.2,6,563.214,2022-04-26 17:41:11
4000,0.7,0.5,6,2042.77,2022-04-26 17:41:11
4000,0.6,0.6,6,3249.91,2022-04-26 17:41:11
4000,0.8,0.3,6,884.576,2022-04-26 17:41:11
4000,0.7,0.6,6,2599.13,2022-04-26 17:41:11
4000,0.8,0.4,6,1251.37,2022-04-26 17:41:11
4000,0.8,0.5,6,1671.15,2022-04-26 17:41:11
4000,0.7,0.7,6,3224.88,2022-04-26 17:41:11
4000,0.9,0.1,6,229.828,2022-04-26 17:41:11
4000,0.9,0.2,6,460.59,2022-04-26 17:41:11
4000,0.9,0.4,6,1043.32,2022-04-26 17:41:11
4000,0.8,0.6,6,2155.52,2022-04-26 17:41:11
4000,0.8,0.7,6,2707.37,2022-04-26 17:41:11
4000,0.9,0.6,6,1847.65,2022-04-26 17:41:11
4000,0.9,0.7,6,2343.38,2022-04-26 17:41:11
4000,0.8,0.8,6,3313.9,2022-04-26 17:41:11
4000,0.9,0.8,6,2900.9,2022-04-26 17:41:11
4000,0.3,0.1,5,1358.64,2022-04-26 22:55:53
4000,0.4,0.1,5,881.464,2022-04-26 22:55:53
4000,0.2,0.1,5,2431.6,2022-04-26 22:55:53
4000,0.3,0.2,5,2719.94,2022-04-26 22:55:53
4000,0.4,0.2,5,1764.19,2022-04-26 22:55:53
4000,0.5,0.1,5,622.443,2022-04-26 22:55:53
4000,0.3,0.3,5,4141,2022-04-26 22:55:53
4000,0.4,0.3,5,2702.89,2022-04-26 22:55:53
4000,0.5,0.2,5,1248.44,2022-04-26 22:55:53
4000,0.2,0.2,5,4865.35,2022-04-26 22:55:53
4000,0.6,0.1,5,466.144,2022-04-26 22:55:53
4000,0.5,0.3,5,1921.77,2022-04-26 22:55:53
4000,0.4,0.4,5,3696.36,2022-04-26 22:55:53
4000,0.6,0.2,5,934.65,2022-04-26 22:55:53
4000,0.1,0.1,5,6131.29,2022-04-26 22:55:53
4000,0.6,0.3,5,1449.11,2022-04-26 22:55:53
4000,0.5,0.4,5,2649.48,2022-04-26 22:55:53
4000,0.7,0.1,5,364.313,2022-04-26 22:55:53
4000,0.7,0.2,5,730.682,2022-04-26 22:55:53
4000,0.5,0.5,5,3438.43,2022-04-26 22:55:53
4000,0.6,0.4,5,2013.96,2022-04-26 22:55:53
4000,0.7,0.3,5,1140.33,2022-04-26 22:55:53
4000,0.6,0.5,5,2638.07,2022-04-26 22:55:53
4000,0.7,0.4,5,1600.59,2022-04-26 22:55:53
4000,0.8,0.1,5,294.305,2022-04-26 22:55:53
4000,0.6,0.6,5,3331.72,2022-04-26 22:55:53
4000,0.8,0.2,5,590.619,2022-04-26 22:55:53
4000,0.8,0.3,5,928.79,2022-04-26 22:55:53
4000,0.7,0.5,5,2121.04,2022-04-26 22:55:53
4000,0.7,0.6,5,2708.95,2022-04-26 22:55:53
4000,0.8,0.4,5,1319.15,2022-04-26 22:55:53
4000,0.8,0.5,5,1768.95,2022-04-26 22:55:53
4000,0.7,0.7,5,3376.73,2022-04-26 22:55:53
4000,0.9,0.1,5,245.514,2022-04-26 22:55:53
4000,0.9,0.2,5,491.376,2022-04-26 22:55:53
4000,0.8,0.6,5,2294.18,2022-04-26 22:55:53
4000,0.9,0.3,5,778.961,2022-04-26 22:55:53
4000,0.9,0.4,5,1118.17,2022-04-26 22:55:53
4000,0.8,0.7,5,2900.9,2022-04-26 22:55:53
4000,0.9,0.6,5,1997.42,2022-04-26 22:55:53
4000,0.8,0.8,5,3586.68,2022-04-26 22:55:53
4000,0.9,0.7,5,2566.2,2022-04-26 22:55:53
4000,0.9,0.8,5,3220.18,2022-04-26 22:55:53
4000,0.9,0.9,5,3946.06,2022-04-26 22:55:53
